"","angry","beliefs","calm","choices","communicating","computations","conscious","depressed","depth","desires","disrespected","embarrassed","emo_recog","fear","free_will","goal","guilt","happy","hungry","intentions","joy","love","morality","nauseated","odors","pain","personality","pleasure","pride","reasoning","recognizing","remembering","safe","seeing","self_aware","self_restraint","sounds","temperature","thoughts","tired"
"adult","2.78857153706778","4.27766174564965","2.4353972994787","2.41094532397246","2.12875779463717","3.68538496391553","2.67600218785247","3.43427180316687","2.38915297136121","2.8486550816152","4.01093794150349","4.19512343110741","3.18036859983575","1.98688615242228","2.80565176351381","2.92047176335342","4.06501124824106","2.79506188301546","1.61643056917656","2.97649116438754","2.76890291793855","3.01880582549919","3.61554943730491","2.7526273688173","1.73456581647984","1.77164515136892","2.8083083437938","2.52285442573118","3.65182014418693","3.34270422197032","2.33455991993913","2.36196648689293","2.34391717577399","1.50496568920891","3.30803515706262","3.56364030252556","1.05227219658406","1.17648886473666","2.89705211881577","2.04689610814161"
"bear","1.98027114181086","0.163037239720796","0.889942754024153","1.4761627152768","0.668283486336772","-0.678251399720834","1.64438163449278","0.582493147040385","0.89112925594619","1.38422820414484","0.595918178657636","-0.0044813119755911","0.482740141337722","1.2240403026199","1.34715373979839","0.894780063748681","0.171730615829995","0.374113266414672","1.28046218972992","1.46858602604761","1.30842860963816","0.69074258439247","0.303296472878036","1.12021630162362","1.67330099434545","1.43567677192228","1.17194470743016","1.31929711347822","0.758539511775864","1.10752635635767","1.0875243468166","0.988448700331669","0.839964606604031","1.35279177616543","1.23688891200333","0.200003938889195","0.991007374449676","0.897832738254445","1.34566871960628","1.49748899351711"
"beetle","-1.25233755384131","-0.408701890713986","-1.06005724597585","-0.439054676027543","-0.712151296271924","-0.728251399720834","-0.101270539420262","-1.10663728774222","-0.0653924831842452","-0.483163100202983","-0.584516603951059","-0.495785659801678","-0.5650859456188","0.0414316069677299","0.0601972180592645","0.529562672444333","-0.580443297213484","-1.68675629880272","0.389157841903837","-0.0553270174306461","-1.57200617297054","-1.37664871995536","-0.716268744513269","-1.64282717663725","0.425474907388932","0.0943724240961901","-1.17805529256984","-0.858963756086999","-0.843634401267615","-0.616386687120587","-1.94725826187905","-1.37894260401616","-0.696991915135099","0.154965689208906","-0.228328479301019","-0.699996061110804","-0.206818712506846","-0.032602044354251","-0.734766063002415","-0.739467528222023"
"blue_jay","1.59766244615869","-0.558701890713986","0.989942754024153","1.01094532397246","1.13784870372808","-0.628251399720834","0.548729460579738","0.0433627122577759","1.58460751681575","0.816836899797017","-0.48451660395106","-0.845785659801678","-0.2650859456188","1.69143160696773","1.01019721805926","1.32956267244433","-0.630443297213483","0.713243701197281","1.78915784190384","1.04467298256935","0.27799382702946","0.0733512800446439","-0.716268744513269","1.05717282336275","0.525474907388932","1.39437242409619","0.82194470743016","1.141036243913","0.306365598732385","-0.216386687120587","0.602741738120947","0.771057395983842","1.3030080848649","1.60496568920891","0.421671520698981","0.200003938889195","1.14318128749315","0.917397955645749","0.215233936997585","1.51053247177798"
"car","-2.71900422050798","-0.983701890713986","-2.44339057930918","-2.42238800936088","-2.25381796293859","0.446748600279166","-2.75960387275359","-2.03163728774222","-2.06539248318425","-2.66649643353632","-1.40951660395106","-1.14578565980168","-1.4900859456188","-3.30856839303227","-2.4064694486074","-2.253770660889","-1.39710996388015","-2.84508963213605","-3.8191754914295","-2.33032701743065","-2.73867283963721","-2.44331538662202","-1.10793541117994","-2.58449384330391","-3.04952509261107","-3.83062757590381","-2.53638862590317","-3.07563042275367","-1.68530106793428","-1.52472002045392","-2.55559159521239","-1.97894260401616","-2.8719919151351","-2.78670097745776","-1.74499514596769","-1.34166272777747","-2.64848537917351","-1.94093537768758","-2.61809939633575","-3.33946752822202"
"child","2.0071862556825","2.21272668071459","1.50899037307177","0.768088181115314","1.1568963227757","0.559843838374404","1.56777707962736","1.3671722360673","0.648893231101469","1.69064642360654","1.84643577700132","3.0804048163888","1.61110453057168","2.0128601783963","1.21257817044022","0.615276958158619","2.47193765516747","2.77991036786395","1.5558245085705","1.77086345875983","2.84466049369613","2.28287508956845","1.90992173167721","2.54050615669609","1.37309395500798","1.47294385266762","2.12432565981111","1.98389338677014","2.34446083682762","1.26694664621275","1.84321792859714","1.00915263407908","1.94348427534109","1.33829902254224","1.14786199688946","0.533337272222529","0.881276525588392","0.386445574693368","2.31047203223568","1.50577056701607"
"chimpanzee","2.34051958901583","0.546060014047918","1.31851418259558","1.52999294302008","1.53784870372808","0.178891457422023","1.42491993677021","1.65288652178159","0.791750373958612","1.35731309027321","1.3226262531918","1.27088100686499","1.08729500676215","1.63190779744392","1.30781626567831","0.758134101015762","1.32908051231033","1.68467227262585","1.84153879428479","0.913720601616973","1.89227954131517","1.37811318480655","1.0051598269153","1.68336329955323","1.56357014548417","1.99675337647714","1.93384946933492","2.03151243438919","1.15398464635143","0.838375217641318","1.74797983335904","1.39010501503146","1.22919856105538","1.67163235587557","0.909766758794219","0.91428965317491","0.833657477969345","0.624540812788606","1.21523393699759","2.0295800908256"
"computer","-2.21142846293222","-0.767792799804895","-2.47369360961221","-1.043600130573","-0.462151296271924","3.18538496391553","-2.46036144851117","-1.65663728774222","-1.11084702863879","-2.33316310020298","-0.989062058496514","-0.941240205256223","-0.774176854709709","-3.10402293848682","-2.19434823648619","-0.488619145737485","-1.07135238812257","-2.38675629880272","-3.56538761264162","-1.70532701743065","-2.36746071842509","-2.02664871995536","-0.65717783542236","-2.2473726311827","-2.4017978198838","-3.41017303044926","-1.96441892893348","-2.658963756087","-1.43908894672216","-0.33911395984786","-0.57453098915178","0.361966486892933","-2.47426464240783","-1.72230703806382","-1.37378302475556","-0.754541515656259","0.00681765112951771","-0.823511135263342","-2.19385697209332","-2.90764934640384"
"dog","1.78099577949202","0.641298109286014","2.09827608735749","1.24427865730579","1.03784870372808","-0.594918066387501","1.82372946057974","2.63502937892444","0.892940850149088","2.04183689979702","1.42381672938227","1.47921434019832","2.09324738771453","1.89976494030106","1.17686388472593","0.704562672444333","2.35289003611985","2.40491036786395","1.6808245085705","1.29467298256935","2.51132716036279","2.43168461337798","1.55873125548673","2.20717282336275","2.15880824072226","1.71103909076286","2.21361137409683","2.341036243913","1.14803226539905","0.683613312879413","2.06940840478761","1.60439072931718","1.79467475153157","1.62996568920891","0.880004854032314","2.24167060555586","1.18484795415982","1.05906462231242","1.34023393699759","1.99386580511131"
"dolphin","1.33402608252232","0.641298109286014","1.48085184493324","1.00185441488155","1.85603052190989","-0.314615036084471","1.17600218785247","1.52518089407596","1.57097115317939","1.8486550816152","0.738210668776213","0.604214340198322","1.58945950892665","1.30506797060409","1.71474267260472","1.28410812698979","0.610465793695607","2.11324370119728","1.66188511463111","1.56740025529663","1.85981200884764","1.51880582549919","0.433731255486731","1.29808191427185","0.870929452843477","1.68073606045983","1.62649016197561","1.70467260754936","1.01545650782329","1.11543149469759","1.19819628357549","1.08923921416566","1.29846263031945","1.55042023466345","1.03530788433534","0.518185757071014","1.41590856022043","0.903761592009385","1.5334157551794","1.6378051990507"
"elephant","2.19766244615869","0.641298109286014","1.25357911766052","1.22912714215428","1.49239415827353","0.867203145733711","1.53963855148883","2.11608998498505","1.25278933499757","1.62138235434247","1.37457430513985","0.604214340198322","1.86218678165393","1.80506797060409","1.71474267260472","1.6931990360807","1.06501124824106","1.74960733756092","1.57097602372202","1.15830934620572","1.8143574633931","1.97335128004464","0.751913073668549","1.34353645972639","1.46183854375257","1.81709969682346","1.76285379833925","1.79558169845846","1.9245474169142","1.16088604015214","1.69819628357549","2.13469375962021","1.48028081213763","1.77769296193618","1.71712606615353","1.6090948479801","1.05227219658406","1.26739795564575","1.5334157551794","2.00144156268707"
"fetus","-2.50233755384131","-1.15870189071399","-1.31005724597585","-2.33905467602754","-2.36215129627192","-1.42825139972083","-1.25127053942026","-1.90663728774222","-2.41539248318425","-2.08316310020298","-1.33451660395106","-1.14578565980168","-1.5650859456188","-1.75856839303227","-1.88980278194074","-2.02043732755567","-1.28044329721348","-1.13675629880272","-1.06084215809616","-1.90532701743065","-1.47200617297054","-0.826648719955356","-1.36626874451327","-1.64282717663725","-2.97452509261107","-1.05562757590381","-1.92805529256984","-2.158963756087","-1.69363440126761","-1.71638668712059","-1.84725826187905","-2.12894260401616","-1.2469919151351","-3.14503431079109","-1.42832847930102","-1.5499960611108","-1.70681871250685","-1.38260204435425","-1.43476606300241","-1.73946752822202"
"fish","-0.756883008386768","-0.449610981623077","0.61721548129688","0.320036233063366","-0.234878568999197","-0.678251399720834","0.494184006034284","-1.02027365137859","1.11642569863394","-0.242254009293892","-0.62542569486015","-0.759422023438042","-0.319631400164254","0.895977061513184","0.623833581695628","-0.579528236646576","-0.662261479031665","-0.432210844257265","1.16188511463111","0.158309346205718","-0.912915263879631","-0.572103265409902","-0.293541471785996","-0.701918085728154","-0.901797819883796","0.135281515005281","-0.418964383478931","0.0683089711857283","-0.120907128540342","-0.33911395984786","-0.938167352788144","-0.183488058561612","0.66209899395581","0.641329325572542","0.171671520698981","-0.481814242928986","0.0977267420386088","0.449216137463931","-0.466584244820597","0.18325974450525"
