"","anger","awareness","choice","depth","embarrassment","fatigue","fear","figuring_out","guilt","happiness","hunger","hurt_feelings","love","memory","nausea","pain","pride","sadness","smell","temperature"
"elephant",0.84375,0.71875,0.6875,0.46875,0.40625,0.9375,0.875,0.75,0.53125,0.9375,1,0.5625,0.75,0.71875,0.625,0.90625,0.6875,0.84375,0.6875,0.53125
"goat",0.892857142857143,0.857142857142857,0.571428571428571,0.5,0.285714285714286,0.928571428571429,0.928571428571429,0.75,0.428571428571429,0.892857142857143,1,0.607142857142857,0.678571428571429,0.607142857142857,0.642857142857143,0.892857142857143,0.75,0.714285714285714,1,0.642857142857143
"mouse",0.8,0.8,0.8,0.733333333333333,0.433333333333333,1,1,0.866666666666667,0.366666666666667,0.933333333333333,1,0.6,0.766666666666667,0.6,0.7,0.966666666666667,0.766666666666667,0.833333333333333,0.933333333333333,0.6
"bird",0.766666666666667,0.766666666666667,0.766666666666667,0.5,0.366666666666667,0.9,1,0.6,0.466666666666667,0.9,0.966666666666667,0.4,0.7,0.566666666666667,0.333333333333333,0.966666666666667,0.633333333333333,0.533333333333333,0.9,0.4
"beetle",0.625,0.875,0.65625,0.6875,0.21875,0.78125,0.84375,0.59375,0.3125,0.625,0.9375,0.40625,0.5,0.65625,0.34375,0.9375,0.46875,0.5,0.5625,0.4375
"teddy_bear",0.3,0.3,0.2,0.2,0.15,0.4,0.3,0.15,0.3,0.65,0.1,0.4,0.4,0.05,0,0.5,0.4,0.45,0.1,0.1
"doll",0.0833333333333333,0.291666666666667,0.125,0.208333333333333,0,0.166666666666667,0.125,0.166666666666667,0.125,0.333333333333333,0.125,0.125,0.208333333333333,0.208333333333333,0.0833333333333333,0.125,0.166666666666667,0.0833333333333333,0.0416666666666667,0.166666666666667
"robot",0.607142857142857,0.892857142857143,0.821428571428571,0.607142857142857,0.464285714285714,0.5,0.392857142857143,0.857142857142857,0.428571428571429,0.857142857142857,0.107142857142857,0.464285714285714,0.428571428571429,0.857142857142857,0.142857142857143,0.321428571428571,0.607142857142857,0.678571428571429,0.178571428571429,0.75
"computer",0.0909090909090909,0.590909090909091,0.590909090909091,0.454545454545455,0.0909090909090909,0.409090909090909,0.0454545454545455,0.909090909090909,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.0454545454545455,0,0.909090909090909,0.0909090909090909,0.136363636363636,0.136363636363636,0.0909090909090909,0.0909090909090909,0.318181818181818
